symbol,age,outcome,r,gross_r,cost_r
ZEC/USDT,177,SL,-1.5027259295508728,-1.1679086431836065,0.33481728636726626
ZEC/USDT,46,+2R,1.5506414180543326,2.0,0.4493585819456673
ZEC/USDT,315,+1R,0.6211477557934948,1.0,0.37885224420650515
ZEC/USDT,421,+1R,0.5986573510869327,1.0,0.40134264891306726
ZEC/USDT,13,+1R,0.6301833494875069,1.0,0.36981665051249313
ZEC/USDT,30,+1R,0.640302611500774,1.0,0.35969738849922595
ZEC/USDT,0,zone_not_touched,,,
ZEC/USDT,3,BE,0.055171112605738204,0.48285415606114995,0.42768304345541175
ZEC/USDT,0,+1R,0.5402887119521058,1.0,0.45971128804789424
ZEC/USDT,23,+1R,0.6087746977752988,1.0,0.3912253022247012
ZEC/USDT,454,+1R,0.5834917395272636,1.0,0.4165082604727364
DOGE/USDT,3,+2R,1.512352941176412,2.0,0.48764705882358794
DOGE/USDT,4,SL,-1.762721090670196,-1.2539070302233966,0.5088140604467994
DOGE/USDT,47,data_quality_ambiguous,,,0.46081664202177364
DOGE/USDT,9,+2R,1.4487754065040206,2.0,0.5512245934959793
DOGE/USDT,23,zone_not_touched,,,
DOGE/USDT,7,+2R,1.5052044753086415,2.0,0.4947955246913584
DOGE/USDT,9,zone_not_touched,,,
DOGE/USDT,7,zone_not_touched,,,
DOGE/USDT,137,+1R,0.4638214285714217,1.0,0.5361785714285783
DOGE/USDT,5,SL,-1.8197742634315877,-1.2735914211438586,0.5461828422877291
DOGE/USDT,513,+1R,0.5482934397162891,1.0,0.4517065602837109
DOGE/USDT,2,zone_not_touched,,,
DOGE/USDT,97,SL,-1.8078488480334283,-1.2689496160111282,0.5388992320223001
DOGE/USDT,1,SL,-1.8540140822273437,-1.2850046940758142,0.5690093881515295
DOGE/USDT,69,+1R,0.35740280924320766,1.0,0.6425971907567923
DOGE/USDT,38,SL,-1.8560950835633456,-1.285698361187815,0.5703967223755306
DOGE/USDT,0,+1R,0.3864891657163353,1.0,0.6135108342836647
DOGE/USDT,5,zone_not_touched,,,
DOGE/USDT,0,SL,-1.894341438530791,-1.2977804795102807,0.5965609590205104
DOGE/USDT,1,zone_not_touched,,,
DOGE/USDT,289,+2R,1.5088711916163018,2.0,0.49112880838369816
DOGE/USDT,1184,data_quality_ambiguous,,,0.5084189805221816
DOGE/USDT,15,+1R,0.696233595800519,1.0,0.30376640419948103
DOGE/USDT,13,BE,0.03451980022527168,0.30211515080880874,0.26759535058353706
ADA/USDT,4,data_quality_ambiguous,,,0.33714214013250265
ADA/USDT,17,BE,0.04557991181294185,0.398912561525838,0.35333264971289613
ADA/USDT,15,BE,0.03675771294784197,0.3217012241712707,0.28494351122342876
ADA/USDT,11,+1R,0.6788124379755119,1.0,0.32118756202448806
ADA/USDT,14,+1R,0.6560559728183006,1.0,0.3439440271816993
ADA/USDT,0,zone_not_touched,,,
ADA/USDT,9,SL,-1.4038029626623314,-1.1342676542207712,0.2695353084415601
ADA/USDT,67,+2R,1.7392177589852014,2.0,0.2607822410147986
ADA/USDT,28,data_quality_ambiguous,,,0.45225151656556106
ADA/USDT,249,data_quality_ambiguous,,,0.3328107142857114
ADA/USDT,435,BE,0.03867779525611492,0.3385056654587178,0.2998278702026029
ADA/USDT,32,zone_not_touched,,,
ADA/USDT,8,SL,-1.694957746478862,-1.2319859154929325,0.4629718309859296
ADA/USDT,33,+2R,1.5498157031052566,2.0,0.4501842968947434
ADA/USDT,1,SL,-1.767573699421926,-1.2555245664739683,0.5120491329479577
ADA/USDT,11,+2R,1.458567467652509,2.0,0.5414325323474909
ADA/USDT,22,SL,-1.666357142857184,-1.2217857142857396,0.44457142857144444
ADA/USDT,15,+1R,0.5621057909250218,1.0,0.4378942090749783
ADA/USDT,38,+1R,0.5587499999999641,1.0,0.44125000000003595
ADA/USDT,473,data_quality_ambiguous,,,0.4219637883008478
ADA/USDT,691,+2R,1.6852793504171553,2.0,0.31472064958284474
NEAR/USDT,1,BE,0.041194291323428445,0.36052988297789373,0.3193355916544653
NEAR/USDT,17,data_quality_ambiguous,,,0.3060436239715441
NEAR/USDT,4,BE,0.04577819650473375,0.40064793685165534,0.3548697403469216
NEAR/USDT,16,BE,0.055214635322660244,0.4832350641802795,0.42802042885761926
NEAR/USDT,8,+1R,0.5686322622687661,1.0,0.431367737731234
NEAR/USDT,108,zone_not_touched,,,
NEAR/USDT,10,BE,0.0548826300170463,0.48032937433539374,0.42544674431834745
NEAR/USDT,6,+2R,1.630642863473195,2.0,0.369357136526805
NEAR/USDT,2,BE,0.050273095578075355,0.43998701478810004,0.3897139192100247
NEAR/USDT,2,+2R,1.5494709668392481,2.0,0.45052903316075193
NEAR/USDT,31,+2R,1.5547786369700598,2.0,0.4452213630299402
NEAR/USDT,12,data_quality_ambiguous,,,0.4276989160666732
NEAR/USDT,34,+2R,1.5946639849757411,2.0,0.4053360150242588
NEAR/USDT,42,data_quality_ambiguous,,,0.34405859583010906
NEAR/USDT,62,BE,0.039914959991546095,0.34933325449974767,0.3094182945082016
NEAR/USDT,39,+1R,0.5953719823440802,1.0,0.40462801765591977
NEAR/USDT,1,zone_not_touched,,,
NEAR/USDT,1,+1R,0.577594006219951,1.0,0.42240599378004895
NEAR/USDT,12,+2R,1.472913947463358,2.0,0.5270860525366421
NEAR/USDT,99,+1R,0.5730180240859966,1.0,0.4269819759140035
NEAR/USDT,20,+2R,1.543651564185529,2.0,0.4563484358144708
NEAR/USDT,29,+1R,0.6688329588014919,1.0,0.3311670411985081
DEXE/USDT,0,BE,0.026375782084829602,0.2308392090991478,0.2044634270143182
DEXE/USDT,47,+1R,0.8535774924515565,1.0,0.1464225075484436
