symbol,age,outcome,r,gross_r,cost_r
KOTAKBANK.NS,5,+1R,0.5345333319839686,1.0,0.4654666680160314
KOTAKBANK.NS,1,zone_not_touched,,,
KOTAKBANK.NS,89,+1R,0.5249019865210158,1.0,0.4750980134789842
KOTAKBANK.NS,2,zone_not_touched,,,
KOTAKBANK.NS,0,+1R,0.47623595421583553,1.0,0.5237640457841645
KOTAKBANK.NS,3,zone_not_touched,,,
KOTAKBANK.NS,13,+1R,0.4808549891200746,1.0,0.5191450108799254
KOTAKBANK.NS,10,+2R,1.4607098465630628,2.0,0.5392901534369373
KOTAKBANK.NS,17,SL,-1.7968846806001495,-1.2552615740883417,0.5416231065118079
KOTAKBANK.NS,129,zone_not_touched,,,
KOTAKBANK.NS,458,data_quality_ambiguous,,,0.4260308391155593
ASIANPAINT.NS,19,+1R,0.5792668761025241,1.0,0.4207331238974758
ASIANPAINT.NS,9,zone_not_touched,,,
ASIANPAINT.NS,3,+1R,0.5127779351211443,1.0,0.48722206487885567
ASIANPAINT.NS,197,Neither,-0.6222350622117399,-0.23459334414139954,0.3876417180703403
ASIANPAINT.NS,26,SL,-1.7222752750199384,-1.2313942018618025,0.4908810731581359
ASIANPAINT.NS,100,+2R,1.4917730561160767,2.0,0.5082269438839233
ASIANPAINT.NS,15,zone_not_touched,,,
ASIANPAINT.NS,1,zone_not_touched,,,
ASIANPAINT.NS,3,SL,-1.7059083053614905,-1.2261584470126399,0.47974985834885064
ASIANPAINT.NS,3,SL,-1.7262714238468209,-1.232672560411667,0.4935988634351538
ASIANPAINT.NS,36,+2R,1.5034580915636007,2.0,0.49654190843639934
ASIANPAINT.NS,135,zone_not_touched,,,
ASIANPAINT.NS,18,data_quality_ambiguous,,,0.4278213058700229
ASIANPAINT.NS,0,zone_not_touched,,,
TATASTEEL.NS,10,BE,0.05242892273616051,0.4592314400246361,0.4068025172884756
TATASTEEL.NS,41,Neither,-0.3259874028483656,0.08747323407671627,0.41346063692508184
TATASTEEL.NS,11,+2R,1.539297208951306,2.0,0.460702791048694
TATASTEEL.NS,56,BE,0.054607151381016295,0.47831081501623735,0.42370366363522105
TATASTEEL.NS,9,data_quality_ambiguous,,,0.4675299701550421
TATASTEEL.NS,5,+2R,1.5468951204308443,2.0,0.4531048795691557
TATASTEEL.NS,55,+1R,0.5451188628163695,1.0,0.4548811371836306
TATASTEEL.NS,120,zone_not_touched,,,
TATASTEEL.NS,1,SL,-1.6999233923255397,-1.2242438875001953,0.4756795048253443
TATASTEEL.NS,43,+2R,1.521583444621498,2.0,0.47841655537850203
TATASTEEL.NS,0,zone_not_touched,,,
TATASTEEL.NS,57,+2R,1.500809965881844,2.0,0.49919003411815605
TATASTEEL.NS,29,zone_not_touched,,,
TATASTEEL.NS,102,+2R,1.4911322441826007,2.0,0.5088677558173993
TATASTEEL.NS,3,+2R,1.5213411868505804,2.0,0.47865881314941955
TATASTEEL.NS,182,SL,-1.7262505408106799,-1.2319857776106056,0.49426476320007423
POWERGRID.NS,46,zone_not_touched,,,
POWERGRID.NS,1,+1R,0.5149140269216932,1.0,0.4850859730783068
POWERGRID.NS,106,zone_not_touched,,,
POWERGRID.NS,13,+2R,1.4866801901079347,2.0,0.5133198098920653
POWERGRID.NS,7,zone_not_touched,,,
POWERGRID.NS,0,+2R,1.4823132198057107,2.0,0.5176867801942893
POWERGRID.NS,50,+2R,1.478333132665794,2.0,0.5216668673342061
POWERGRID.NS,0,+2R,1.4736596205700165,2.0,0.5263403794299835
POWERGRID.NS,15,+2R,1.4772546321843667,2.0,0.5227453678156333
POWERGRID.NS,4,zone_not_touched,,,
POWERGRID.NS,15,zone_not_touched,,,
POWERGRID.NS,13,SL,-1.7756286992077879,-1.2477817335917272,0.5278469656160606
POWERGRID.NS,4,+2R,1.513838410183515,2.0,0.486161589816485
POWERGRID.NS,2,+2R,1.4652918939131916,2.0,0.5347081060868084
POWERGRID.NS,16,SL,-1.8275782013440511,-1.2644002563480763,0.5631779449959748
